013 រថ.អធរ.ប្រក,សហគ្រាស ថាច ហេង,9.98,ឃុំស្វាយរលំ ស្រុកស្អាង ខេត្តកណ្តាល,កណ្តាល,អាចម៍ដី,2017-02-01,2019-02-01
006 រថ.អធរ.ប្រក,ក្រុមហ៊ុន​ សុខឃីម ម៉ានិម៉ា គ្រុប ខូ អិលធីឌី,6.10,តំបន់ព្រៃគៀន ភូមិម្កាក់ ឃុំដើមឫស ស្រុកកណ្តាលស្ទឹង ខេត្តកណ្តាល,កណ្តាល,ខ្សាច់សំណង់,2017-01-20,2019-01-20
012 រថ.អធរ.ប្រក,សហគ្រាស ត្រាន់ ផាន់ណា,5.00,ភូមិក្រាំងរលួស ឃុំរលាំងកែន ស្រុកកណ្តាលស្ទឹង ខេត្តកណ្តាល,កណ្តាល,ខ្សាច់សំណង់,2017-02-01,2019-02-01
021 រថ.អធរ.ប្រក,សហគ្រាស អាង សុខ,6.00,ឃុំរលាំងកែន ស្រុកកណ្តាលស្ទឹង ខេត្តកណ្តាល,កណ្តាល,ខ្សាច់សំណង់,2017-03-07,2019-03-07
024 រថ.អធរ.ប្រក,ក្រុមហ៊ុន តឹង មុំ ត្រេឌីង,6.60,ភូមិព្រែករកា ឃុំព្រែករកា ស្រុកកណ្តាលស្ទឹង​ ខេត្តកណ្តាល,កណ្តាល,អាចម៍ដី,2017-03-30,2019-03-09
035 រថ.អធរ.ប្រក,សហគ្រាស នូវ សំអុល អភិវឌ្ឍន៍,9.40,ភូមិកណ្តោក ឃុំកណ្តោក ស្រុកកណ្តាលស្ទឹង ខេត្តកណ្តាល,កណ្តាល,អាចម៍ដី,2017-04-18,2019-04-18
044 រថ.អធរ.ប្រក,សហគ្រាស តាក់ ជីឡៅ រៀលអ៊ីស្ទេត & ខនស្រ្តាក់សិន,9.00,ភូមិកណ្តាល ឃុំឆក់ឈើនាង ស្រុកអង្គស្នួល,កណ្តាល,អាចម៍ដី,2017-05-12,2019-05-12
048 រថ.អធរ.ប្រក,សហគ្រាស ម៉ៅ ធៀង អភិវឌ្ឍន៍,8,ភូមិទួលកំរៀង ឃុំថ្មី ស្រុកកណ្តាលស្ទឹង,កណ្តាល,ខ្សាច់សំណង់,2017-07-15,2019-07-15
055 រថ.អធរ.ប្រក,សហគ្រាស អ៊ង តាំងឡៃ អេនធើប្រាយ,9.76,ភូមិចំបក់ ឃុំសៀមរាប ស្រុកកណ្តាលស្ទឹង,កណ្តាល,ខ្សាច់សំណង់,2017-08-29,2019-08-29
053 រថ.អធរ.ប្រក,សហគ្រាស វ៉ាន់ សុភ័ក្ត្រា អភិវឌ្ឍន៍,7.27,ភូមិតោកម៉ា ឃុំកណ្តោក ស្រុកកណ្តាលស្ទឹង,កណ្តាល,អាចម៍ដី,2017-08-24,2019-08-24
004 រថ.អធរ.ប្រក,ក្រុមហ៊ុន ចាង យី ម៉ាញ នីង ខូបផូរេសិន,9.98,នៅតំបន់រវៀង ភូមិថ្នល់​ ឃុំស្វាយជ្រះ ស្រុកស្នួល,ក្រចេះ,ថ្មអារ,2017-01-18,2019-01-08
039 រថ.អធរ.ប្រក,"ក្រុមហ៊ុន Dan Heng Co.,Ltd",4.60,ភូមិមនោរម្យ ឃុំហោងសំណំ ស្រុកឪរ៉ាល់ ខេត្តកំពង់ស្ពឺ,កំពង់ស្ពឺ,ថ្មអារ,2017-04-26,2019-04-26
003 រថ.អធរ.ប្រក,"ក្រុមហ៊ុន Agri  C & O Corp Co.,Ltd",17.70,នៅតំបន់រវៀង ភូមិថ្នល់​ ឃុំស្វាយជ្រះ ស្រុកស្នួល,ក្រចេះ,ថ្មអារ,2017-01-17,2019-01-17
031 រថ.អធរ.ប្រក,លោកស្រី មាស ណារិទ្ធិ,2.00,ត្រពាំងផ្អាវ ភូមិខ្វាវ ស្រុកជីក្រែង,សៀមរាប,ថ្ម,2017-04-05,2019-04-05
014 រថ.អធរ.ប្រក,"ក្រុមហ៊ុន SHE JIANG SHENG ZHU JI SHI MING LEI KUANG YE CO.,LTD",9.60,ភូមិព្រះរាមរង្សី ឃុំជ្រៃបាក់ ស្រុករលាប្អៀរ ខេត្តកំពង់ឆ្នាំង,កំពង់ឆ្នាំង,ថ្ម,2017-02-6,2019-02-06
